tx_name	gene_id	gene_name	with_UTRs
ENST00000377648.5	ENSG00000116273.6	PHF13	TRUE
ENST00000054650.8	ENSG00000041988.15	THAP3	TRUE
ENST00000307896.10	ENSG00000041988.15	THAP3	TRUE
ENST00000377627.7	ENSG00000041988.15	THAP3	TRUE
ENST00000487819.5	ENSG00000041988.15	THAP3	FALSE
ENST00000303635.12	ENSG00000171735.19	CAMTA1	TRUE
ENST00000473578.5	ENSG00000171735.19	CAMTA1	TRUE
ENST00000557126.5	ENSG00000171735.19	CAMTA1	TRUE
ENST00000467404.6	ENSG00000171735.19	CAMTA1	FALSE
ENST00000461311.1	ENSG00000171735.19	CAMTA1	FALSE
ENST00000476864.1	ENSG00000171735.19	CAMTA1	FALSE
ENST00000054666.11	ENSG00000049245.13	VAMP3	TRUE
ENST00000470357.1	ENSG00000049245.13	VAMP3	TRUE
ENST00000377541.5	ENSG00000049246.14	PER3	TRUE
ENST00000613533.4	ENSG00000049246.14	PER3	TRUE
ENST00000614998.4	ENSG00000049246.14	PER3	TRUE
ENST00000361923.2	ENSG00000049246.14	PER3	TRUE
ENST00000377493.9	ENSG00000116288.13	PARK7	TRUE
ENST00000377491.5	ENSG00000116288.13	PARK7	TRUE
ENST00000469225.1	ENSG00000116288.13	PARK7	FALSE
ENST00000471889.7	ENSG00000162426.16	SLC45A1	TRUE
ENST00000377443.7	ENSG00000131686.15	CA6	FALSE
ENST00000480186.7	ENSG00000131686.15	CA6	FALSE
ENST00000377436.6	ENSG00000131686.15	CA6	FALSE
ENST00000377442.3	ENSG00000131686.15	CA6	FALSE
ENST00000377403.7	ENSG00000049239.13	H6PD	TRUE
ENST00000602477.1	ENSG00000049239.13	H6PD	TRUE
ENST00000328089.11	ENSG00000171621.14	SPSB1	TRUE
ENST00000450402.1	ENSG00000171621.14	SPSB1	FALSE
ENST00000302692.7	ENSG00000171612.7	SLC25A33	TRUE
ENST00000340381.11	ENSG00000188807.13	TMEM201	TRUE
ENST00000340305.9	ENSG00000188807.13	TMEM201	FALSE
ENST00000377346.9	ENSG00000171608.16	PIK3CD	TRUE
ENST00000536656.5	ENSG00000171608.16	PIK3CD	TRUE
ENST00000628140.2	ENSG00000171608.16	PIK3CD	TRUE
ENST00000543390.2	ENSG00000171608.16	PIK3CD	TRUE
ENST00000403197.5	ENSG00000173614.14	NMNAT1	TRUE
ENST00000462686.1	ENSG00000173614.14	NMNAT1	TRUE
ENST00000315901.4	ENSG00000162444.12	RBP7	TRUE
ENST00000294435.8	ENSG00000162444.12	RBP7	TRUE
ENST00000253251.12	ENSG00000130939.20	UBE4B	TRUE
ENST00000672724.1	ENSG00000130939.20	UBE4B	TRUE
ENST00000343090.11	ENSG00000130939.20	UBE4B	TRUE
ENST00000377153.5	ENSG00000130939.20	UBE4B	TRUE
ENST00000676179.1	ENSG00000054523.18	KIF1B	TRUE
ENST00000263934.10	ENSG00000054523.18	KIF1B	TRUE
ENST00000377083.5	ENSG00000054523.18	KIF1B	TRUE
ENST00000377081.5	ENSG00000054523.18	KIF1B	TRUE
ENST00000620295.2	ENSG00000054523.18	KIF1B	FALSE
ENST00000622724.3	ENSG00000054523.18	KIF1B	FALSE
ENST00000491493.5	ENSG00000142657.21	PGD	FALSE
ENST00000270776.13	ENSG00000142657.21	PGD	TRUE
ENST00000477958.5	ENSG00000142657.21	PGD	TRUE
ENST00000465632.5	ENSG00000142657.21	PGD	FALSE
ENST00000400900.6	ENSG00000251503.8	CENPS-CORT	TRUE
ENST00000470413.6	ENSG00000251503.8	CENPS-CORT	TRUE
ENST00000309048.8	ENSG00000175279.22	CENPS	TRUE
ENST00000602787.6	ENSG00000251503.8	CENPS-CORT	TRUE
ENST00000477755.1	ENSG00000175279.22	CENPS	TRUE
ENST00000602296.6	ENSG00000251503.8	CENPS-CORT	TRUE
ENST00000462462.1	ENSG00000175279.22	CENPS	TRUE
ENST00000465026.1	ENSG00000251503.8	CENPS-CORT	TRUE
ENST00000377049.4	ENSG00000241563.4	CORT	TRUE
ENST00000356607.9	ENSG00000142655.13	PEX14	FALSE
ENST00000491661.2	ENSG00000142655.13	PEX14	FALSE
ENST00000639599.1	ENSG00000120948.18	TARDBP	TRUE
ENST00000629725.2	ENSG00000120948.18	TARDBP	FALSE
ENST00000439080.6	ENSG00000120948.18	TARDBP	TRUE
ENST00000472476.5	ENSG00000120948.18	TARDBP	TRUE
ENST00000240185.8	ENSG00000120948.18	TARDBP	TRUE
ENST00000614757.4	ENSG00000277726.4	AL109811.3	TRUE
ENST00000638264.1	ENSG00000120948.18	TARDBP	FALSE
ENST00000649624.1	ENSG00000120948.18	TARDBP	FALSE
ENST00000616545.4	ENSG00000120948.18	TARDBP	FALSE
ENST00000621790.4	ENSG00000120948.18	TARDBP	FALSE
ENST00000611963.4	ENSG00000120948.18	TARDBP	FALSE
ENST00000610369.4	ENSG00000120948.18	TARDBP	FALSE
ENST00000496840.1	ENSG00000120948.18	TARDBP	FALSE
ENST00000622108.1	ENSG00000277726.4	AL109811.3	FALSE
ENST00000376819.4	ENSG00000171819.5	ANGPTL7	TRUE
ENST00000376810.6	ENSG00000120942.14	UBIAD1	TRUE
ENST00000376804.2	ENSG00000120942.14	UBIAD1	FALSE
ENST00000486588.6	ENSG00000120942.14	UBIAD1	FALSE
ENST00000483738.1	ENSG00000120942.14	UBIAD1	FALSE
ENST00000294484.7	ENSG00000204624.8	DISP3	TRUE
ENST00000304391.6	ENSG00000204624.8	DISP3	TRUE
ENST00000251546.8	ENSG00000132879.14	FBXO44	TRUE
ENST00000376770.5	ENSG00000132879.14	FBXO44	TRUE
ENST00000376768.5	ENSG00000132879.14	FBXO44	TRUE
ENST00000471895.1	ENSG00000132879.14	FBXO44	FALSE
ENST00000376753.9	ENSG00000116663.11	FBXO6	TRUE
ENST00000294485.6	ENSG00000162490.7	DRAXIN	TRUE
ENST00000376637.7	ENSG00000177674.16	AGTRAP	TRUE
ENST00000476512.5	ENSG00000177674.16	AGTRAP	TRUE
ENST00000400895.6	ENSG00000177674.16	AGTRAP	TRUE
ENST00000314340.10	ENSG00000177674.16	AGTRAP	TRUE
ENST00000376629.8	ENSG00000177674.16	AGTRAP	TRUE
ENST00000376627.6	ENSG00000177674.16	AGTRAP	TRUE
ENST00000452018.6	ENSG00000177674.16	AGTRAP	TRUE
ENST00000510878.1	ENSG00000177674.16	AGTRAP	TRUE
ENST00000433342.5	ENSG00000215910.7	C1orf167	FALSE
ENST00000312413.10	ENSG00000011021.23	CLCN6	TRUE
ENST00000346436.11	ENSG00000011021.23	CLCN6	TRUE
ENST00000400892.3	ENSG00000011021.23	CLCN6	TRUE
ENST00000376496.4	ENSG00000011021.23	CLCN6	FALSE
ENST00000196061.5	ENSG00000083444.17	PLOD1	TRUE
ENST00000429000.6	ENSG00000083444.17	PLOD1	FALSE
ENST00000675817.1	ENSG00000116688.18	MFN2	TRUE
ENST00000675298.1	ENSG00000116688.18	MFN2	TRUE
ENST00000412236.2	ENSG00000116688.18	MFN2	FALSE
ENST00000676426.1	ENSG00000116688.18	MFN2	TRUE
ENST00000674658.1	ENSG00000116688.18	MFN2	TRUE
ENST00000675231.1	ENSG00000116688.18	MFN2	TRUE
ENST00000497302.1	ENSG00000116688.18	MFN2	TRUE
ENST00000675987.1	ENSG00000116688.18	MFN2	TRUE
ENST00000235332.6	ENSG00000116691.11	MIIP	TRUE
ENST00000263932.7	ENSG00000120949.15	TNFRSF8	TRUE
ENST00000417814.3	ENSG00000120949.15	TNFRSF8	TRUE
ENST00000514649.5	ENSG00000120949.15	TNFRSF8	TRUE
ENST00000413146.6	ENSG00000120949.15	TNFRSF8	TRUE
ENST00000376259.7	ENSG00000028137.19	TNFRSF1B	TRUE
ENST00000536782.2	ENSG00000028137.19	TNFRSF1B	FALSE
ENST00000620676.6	ENSG00000048707.15	VPS13D	TRUE
ENST00000613099.4	ENSG00000048707.15	VPS13D	TRUE
ENST00000466732.2	ENSG00000048707.15	VPS13D	FALSE
ENST00000543766.2	ENSG00000048707.15	VPS13D	TRUE
ENST00000376221.1	ENSG00000204518.2	AADACL4	FALSE
ENST00000359318.8	ENSG00000188984.12	AADACL3	TRUE
ENST00000614859.5	ENSG00000157330.10	C1orf158	TRUE
ENST00000376210.3	ENSG00000157330.10	C1orf158	FALSE
ENST00000357726.5	ENSG00000116726.5	PRAMEF12	TRUE
ENST00000332296.7	ENSG00000116721.9	PRAMEF1	TRUE
ENST00000240189.2	ENSG00000120952.4	PRAMEF2	TRUE
ENST00000616979.4	ENSG00000204510.5	PRAMEF7	TRUE
ENST00000617807.2	ENSG00000277058.2	HNRNPCL3	TRUE
ENST00000614839.4	ENSG00000229571.7	PRAMEF25	TRUE
ENST00000415919.2	ENSG00000204505.4	PRAMEF9	TRUE
ENST00000622421.2	ENSG00000270601.4	PRAMEF5	TRUE
ENST00000437300.2	ENSG00000237700.2	PRAMEF33	TRUE
ENST00000376152.2	ENSG00000204501.7	PRAMEF15	TRUE
ENST00000376098.4	ENSG00000204479.4	PRAMEF17	TRUE
ENST00000602960.1	ENSG00000204478.10	PRAMEF20	FALSE
ENST00000294489.10	ENSG00000162493.16	PDPN	TRUE
ENST00000376057.8	ENSG00000162493.16	PDPN	TRUE
ENST00000621990.4	ENSG00000162493.16	PDPN	TRUE
ENST00000510906.5	ENSG00000162493.16	PDPN	TRUE
ENST00000509009.5	ENSG00000162493.16	PDPN	TRUE
ENST00000376061.8	ENSG00000162493.16	PDPN	TRUE
ENST00000475043.5	ENSG00000162493.16	PDPN	TRUE
ENST00000488631.1	ENSG00000162493.16	PDPN	TRUE
ENST00000376048.9	ENSG00000116731.22	PRDM2	TRUE
ENST00000311066.9	ENSG00000116731.22	PRDM2	TRUE
ENST00000235372.11	ENSG00000116731.22	PRDM2	TRUE
ENST00000491134.5	ENSG00000116731.22	PRDM2	FALSE
ENST00000343137.8	ENSG00000116731.22	PRDM2	TRUE
ENST00000503842.5	ENSG00000116731.22	PRDM2	TRUE
ENST00000407521.7	ENSG00000116731.22	PRDM2	FALSE
ENST00000636564.1	ENSG00000189337.17	KAZN	FALSE
ENST00000636203.1	ENSG00000189337.17	KAZN	TRUE
ENST00000376030.7	ENSG00000189337.17	KAZN	TRUE
ENST00000503743.5	ENSG00000189337.17	KAZN	FALSE
ENST00000361144.9	ENSG00000189337.17	KAZN	TRUE
ENST00000400798.6	ENSG00000189337.17	KAZN	TRUE
ENST00000376014.7	ENSG00000171729.14	TMEM51	TRUE
ENST00000434578.6	ENSG00000171729.14	TMEM51	TRUE
ENST00000358897.8	ENSG00000142621.19	FHAD1	TRUE
ENST00000433640.6	ENSG00000142621.19	FHAD1	FALSE
ENST00000375997.8	ENSG00000142621.19	FHAD1	TRUE
ENST00000524761.5	ENSG00000142621.19	FHAD1	FALSE
ENST00000375995.3	ENSG00000142621.19	FHAD1	FALSE
ENST00000529606.5	ENSG00000142621.19	FHAD1	FALSE
ENST00000314668.13	ENSG00000142621.19	FHAD1	FALSE
ENST00000375980.9	ENSG00000142634.13	EFHD2	TRUE
ENST00000375943.6	ENSG00000162438.12	CTRC	TRUE
ENST00000375949.5	ENSG00000162438.12	CTRC	TRUE
ENST00000359621.5	ENSG00000142615.8	CELA2A	TRUE
ENST00000375910.8	ENSG00000215704.10	CELA2B	TRUE
ENST00000375838.5	ENSG00000116138.13	DNAJC16	TRUE
ENST00000616884.4	ENSG00000116138.13	DNAJC16	TRUE
ENST00000375849.5	ENSG00000116138.13	DNAJC16	TRUE
ENST00000375847.8	ENSG00000116138.13	DNAJC16	TRUE
ENST00000480945.6	ENSG00000197312.12	DDI2	TRUE
ENST00000320153.10	ENSG00000197312.12	DDI2	FALSE
ENST00000345034.1	ENSG00000215695.1	RSC1A1	FALSE
ENST00000375799.8	ENSG00000116786.13	PLEKHM2	TRUE
ENST00000375793.2	ENSG00000116786.13	PLEKHM2	TRUE
ENST00000642363.1	ENSG00000116786.13	PLEKHM2	FALSE
ENST00000294454.6	ENSG00000162461.8	SLC25A34	TRUE
ENST00000375782.2	ENSG00000162460.7	TMEM82	TRUE
ENST00000496928.6	ENSG00000162458.13	FBLIM1	FALSE
ENST00000510393.5	ENSG00000162458.13	FBLIM1	FALSE
ENST00000375771.5	ENSG00000162458.13	FBLIM1	TRUE
ENST00000502638.5	ENSG00000162458.13	FBLIM1	FALSE
ENST00000431771.6	ENSG00000162458.13	FBLIM1	FALSE
ENST00000441801.6	ENSG00000162458.13	FBLIM1	TRUE
ENST00000332305.5	ENSG00000162458.13	FBLIM1	TRUE
ENST00000375759.8	ENSG00000065526.12	SPEN	TRUE
ENST00000442985.1	ENSG00000065526.12	SPEN	FALSE
ENST00000329454.2	ENSG00000183888.4	SRARP	TRUE
ENST00000375692.5	ENSG00000186510.12	CLCNKA	TRUE
ENST00000439316.6	ENSG00000186510.12	CLCNKA	FALSE
ENST00000331433.5	ENSG00000186510.12	CLCNKA	TRUE
ENST00000619181.4	ENSG00000184908.18	CLCNKB	FALSE
ENST00000375679.9	ENSG00000184908.18	CLCNKB	TRUE
ENST00000375667.7	ENSG00000184908.18	CLCNKB	TRUE
ENST00000431772.1	ENSG00000184908.18	CLCNKB	FALSE
ENST00000471507.5	ENSG00000055070.17	SZRD1	TRUE
ENST00000401089.3	ENSG00000055070.17	SZRD1	TRUE
ENST00000401088.9	ENSG00000055070.17	SZRD1	FALSE
ENST00000476423.5	ENSG00000055070.17	SZRD1	TRUE
ENST00000492354.1	ENSG00000055070.17	SZRD1	FALSE
ENST00000504551.6	ENSG00000157191.20	NECAP2	TRUE
ENST00000457722.6	ENSG00000157191.20	NECAP2	TRUE
ENST00000337132.10	ENSG00000157191.20	NECAP2	TRUE
ENST00000443980.6	ENSG00000157191.20	NECAP2	TRUE
ENST00000504858.5	ENSG00000157191.20	NECAP2	TRUE
ENST00000459640.5	ENSG00000157191.20	NECAP2	FALSE
ENST00000375541.10	ENSG00000058453.17	CROCC	TRUE
ENST00000375471.5	ENSG00000142623.11	PADI1	TRUE
ENST00000375460.3	ENSG00000142619.4	PADI3	TRUE
ENST00000375453.5	ENSG00000159339.13	PADI4	TRUE
ENST00000375448.4	ENSG00000159339.13	PADI4	TRUE
ENST00000619609.1	ENSG00000276747.1	PADI6	TRUE
ENST00000361221.8	ENSG00000074964.17	ARHGEF10L	TRUE
ENST00000375415.5	ENSG00000074964.17	ARHGEF10L	TRUE
ENST00000375408.7	ENSG00000074964.17	ARHGEF10L	TRUE
ENST00000167825.5	ENSG00000074964.17	ARHGEF10L	FALSE
ENST00000375406.2	ENSG00000117148.8	ACTL8	TRUE
ENST00000251296.4	ENSG00000117154.12	IGSF21	TRUE
ENST00000400664.2	ENSG00000179023.8	KLHDC7A	FALSE
ENST00000420770.7	ENSG00000009709.12	PAX7	TRUE
ENST00000375375.7	ENSG00000009709.12	PAX7	TRUE
ENST00000400661.3	ENSG00000009709.12	PAX7	TRUE
ENST00000330263.5	ENSG00000053372.5	MRTO4	TRUE
ENST00000375153.8	ENSG00000040487.13	SLC66A1	TRUE
ENST00000469076.5	ENSG00000040487.13	SLC66A1	TRUE
ENST00000400548.6	ENSG00000040487.13	SLC66A1	TRUE
ENST00000497827.1	ENSG00000040487.13	SLC66A1	TRUE
ENST00000432465.1	ENSG00000040487.13	SLC66A1	FALSE
ENST00000648702.1	ENSG00000173436.15	MICOS10	TRUE
ENST00000617872.4	ENSG00000173436.15	MICOS10	TRUE
ENST00000322753.7	ENSG00000173436.15	MICOS10	TRUE
ENST00000602384.5	ENSG00000270136.6	MICOS10-NBL1	FALSE
ENST00000602293.5	ENSG00000270136.6	MICOS10-NBL1	TRUE
ENST00000428975.5	ENSG00000158747.15	NBL1	FALSE
ENST00000289749.6	ENSG00000158747.15	NBL1	FALSE
ENST00000621723.4	ENSG00000158747.15	NBL1	TRUE
ENST00000615215.4	ENSG00000158747.15	NBL1	TRUE
ENST00000289753.2	ENSG00000158748.4	HTR6	TRUE
ENST00000375120.4	ENSG00000169914.6	OTUD3	TRUE
ENST00000375108.4	ENSG00000127472.11	PLA2G5	TRUE
ENST00000375102.4	ENSG00000158786.5	PLA2G2F	TRUE
ENST00000375099.4	ENSG00000162543.6	UBXN10	TRUE
ENST00000485375.6	ENSG00000158816.15	VWA5B1	TRUE
ENST00000375079.6	ENSG00000158816.15	VWA5B1	FALSE
ENST00000289815.12	ENSG00000158816.15	VWA5B1	TRUE
ENST00000473325.5	ENSG00000158816.15	VWA5B1	TRUE
ENST00000530722.5	ENSG00000158816.15	VWA5B1	FALSE
ENST00000332947.6	ENSG00000183114.8	FAM43B	TRUE
ENST00000375071.4	ENSG00000158825.6	CDA	TRUE
ENST00000321556.5	ENSG00000158828.8	PINK1	TRUE
